Recipe_ID,Recipe_Name,Yield_Units,Unit_Type,Total_Cost_per_Batch,Cost_per_Unit,Total_Calories_per_Batch,Calories_per_Unit,Target_Price_per_Unit,Suggested_Price_per_Unit,Gross_Margin_%
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A72,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E72/C72,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A72,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G72/C72,0)",,"=ROUND(F72*3,2)","=IFERROR((I72-F72)/I72,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A73,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E73/C73,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A73,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G73/C73,0)",,"=ROUND(F73*3,2)","=IFERROR((I73-F73)/I73,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A74,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E74/C74,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A74,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G74/C74,0)",,"=ROUND(F74*3,2)","=IFERROR((I74-F74)/I74,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A75,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E75/C75,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A75,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G75/C75,0)",,"=ROUND(F75*3,2)","=IFERROR((I75-F75)/I75,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A76,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E76/C76,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A76,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G76/C76,0)",,"=ROUND(F76*3,2)","=IFERROR((I76-F76)/I76,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A77,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E77/C77,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A77,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G77/C77,0)",,"=ROUND(F77*3,2)","=IFERROR((I77-F77)/I77,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A78,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E78/C78,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A78,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G78/C78,0)",,"=ROUND(F78*3,2)","=IFERROR((I78-F78)/I78,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A79,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E79/C79,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A79,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G79/C79,0)",,"=ROUND(F79*3,2)","=IFERROR((I79-F79)/I79,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A80,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E80/C80,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A80,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G80/C80,0)",,"=ROUND(F80*3,2)","=IFERROR((I80-F80)/I80,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A81,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E81/C81,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A81,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G81/C81,0)",,"=ROUND(F81*3,2)","=IFERROR((I81-F81)/I81,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A82,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E82/C82,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A82,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G82/C82,0)",,"=ROUND(F82*3,2)","=IFERROR((I82-F82)/I82,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A83,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E83/C83,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A83,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G83/C83,0)",,"=ROUND(F83*3,2)","=IFERROR((I83-F83)/I83,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A84,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E84/C84,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A84,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G84/C84,0)",,"=ROUND(F84*3,2)","=IFERROR((I84-F84)/I84,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A85,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E85/C85,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A85,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G85/C85,0)",,"=ROUND(F85*3,2)","=IFERROR((I85-F85)/I85,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A86,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E86/C86,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A86,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G86/C86,0)",,"=ROUND(F86*3,2)","=IFERROR((I86-F86)/I86,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A87,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E87/C87,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A87,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G87/C87,0)",,"=ROUND(F87*3,2)","=IFERROR((I87-F87)/I87,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A88,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E88/C88,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A88,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G88/C88,0)",,"=ROUND(F88*3,2)","=IFERROR((I88-F88)/I88,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A89,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E89/C89,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A89,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G89/C89,0)",,"=ROUND(F89*3,2)","=IFERROR((I89-F89)/I89,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A90,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E90/C90,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A90,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G90/C90,0)",,"=ROUND(F90*3,2)","=IFERROR((I90-F90)/I90,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A91,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E91/C91,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A91,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G91/C91,0)",,"=ROUND(F91*3,2)","=IFERROR((I91-F91)/I91,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A92,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E92/C92,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A92,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G92/C92,0)",,"=ROUND(F92*3,2)","=IFERROR((I92-F92)/I92,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A93,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E93/C93,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A93,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G93/C93,0)",,"=ROUND(F93*3,2)","=IFERROR((I93-F93)/I93,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A94,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E94/C94,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A94,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G94/C94,0)",,"=ROUND(F94*3,2)","=IFERROR((I94-F94)/I94,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A95,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E95/C95,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A95,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G95/C95,0)",,"=ROUND(F95*3,2)","=IFERROR((I95-F95)/I95,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A96,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E96/C96,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A96,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G96/C96,0)",,"=ROUND(F96*3,2)","=IFERROR((I96-F96)/I96,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A97,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E97/C97,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A97,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G97/C97,0)",,"=ROUND(F97*3,2)","=IFERROR((I97-F97)/I97,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A98,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E98/C98,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A98,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G98/C98,0)",,"=ROUND(F98*3,2)","=IFERROR((I98-F98)/I98,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A99,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E99/C99,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A99,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G99/C99,0)",,"=ROUND(F99*3,2)","=IFERROR((I99-F99)/I99,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A100,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E100/C100,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A100,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G100/C100,0)",,"=ROUND(F100*3,2)","=IFERROR((I100-F100)/I100,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A101,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E101/C101,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A101,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G101/C101,0)",,"=ROUND(F101*3,2)","=IFERROR((I101-F101)/I101,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A102,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E102/C102,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A102,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G102/C102,0)",,"=ROUND(F102*3,2)","=IFERROR((I102-F102)/I102,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A103,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E103/C103,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A103,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G103/C103,0)",,"=ROUND(F103*3,2)","=IFERROR((I103-F103)/I103,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A104,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E104/C104,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A104,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G104/C104,0)",,"=ROUND(F104*3,2)","=IFERROR((I104-F104)/I104,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A105,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E105/C105,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A105,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G105/C105,0)",,"=ROUND(F105*3,2)","=IFERROR((I105-F105)/I105,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A106,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E106/C106,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A106,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G106/C106,0)",,"=ROUND(F106*3,2)","=IFERROR((I106-F106)/I106,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A107,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E107/C107,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A107,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G107/C107,0)",,"=ROUND(F107*3,2)","=IFERROR((I107-F107)/I107,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A108,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E108/C108,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A108,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G108/C108,0)",,"=ROUND(F108*3,2)","=IFERROR((I108-F108)/I108,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A109,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E109/C109,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A109,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G109/C109,0)",,"=ROUND(F109*3,2)","=IFERROR((I109-F109)/I109,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A110,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E110/C110,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A110,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G110/C110,0)",,"=ROUND(F110*3,2)","=IFERROR((I110-F110)/I110,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A111,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E111/C111,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A111,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G111/C111,0)",,"=ROUND(F111*3,2)","=IFERROR((I111-F111)/I111,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A112,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E112/C112,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A112,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G112/C112,0)",,"=ROUND(F112*3,2)","=IFERROR((I112-F112)/I112,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A113,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E113/C113,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A113,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G113/C113,0)",,"=ROUND(F113*3,2)","=IFERROR((I113-F113)/I113,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A114,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E114/C114,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A114,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G114/C114,0)",,"=ROUND(F114*3,2)","=IFERROR((I114-F114)/I114,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A115,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E115/C115,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A115,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G115/C115,0)",,"=ROUND(F115*3,2)","=IFERROR((I115-F115)/I115,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A116,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E116/C116,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A116,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G116/C116,0)",,"=ROUND(F116*3,2)","=IFERROR((I116-F116)/I116,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A117,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E117/C117,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A117,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G117/C117,0)",,"=ROUND(F117*3,2)","=IFERROR((I117-F117)/I117,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A118,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E118/C118,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A118,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G118/C118,0)",,"=ROUND(F118*3,2)","=IFERROR((I118-F118)/I118,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A119,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E119/C119,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A119,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G119/C119,0)",,"=ROUND(F119*3,2)","=IFERROR((I119-F119)/I119,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A120,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E120/C120,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A120,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G120/C120,0)",,"=ROUND(F120*3,2)","=IFERROR((I120-F120)/I120,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A121,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E121/C121,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A121,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G121/C121,0)",,"=ROUND(F121*3,2)","=IFERROR((I121-F121)/I121,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A122,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E122/C122,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A122,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G122/C122,0)",,"=ROUND(F122*3,2)","=IFERROR((I122-F122)/I122,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A123,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E123/C123,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A123,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G123/C123,0)",,"=ROUND(F123*3,2)","=IFERROR((I123-F123)/I123,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A124,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E124/C124,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A124,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G124/C124,0)",,"=ROUND(F124*3,2)","=IFERROR((I124-F124)/I124,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A125,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E125/C125,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A125,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G125/C125,0)",,"=ROUND(F125*3,2)","=IFERROR((I125-F125)/I125,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A126,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E126/C126,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A126,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G126/C126,0)",,"=ROUND(F126*3,2)","=IFERROR((I126-F126)/I126,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A127,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E127/C127,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A127,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G127/C127,0)",,"=ROUND(F127*3,2)","=IFERROR((I127-F127)/I127,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A128,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E128/C128,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A128,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G128/C128,0)",,"=ROUND(F128*3,2)","=IFERROR((I128-F128)/I128,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A129,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E129/C129,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A129,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G129/C129,0)",,"=ROUND(F129*3,2)","=IFERROR((I129-F129)/I129,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A130,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E130/C130,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A130,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G130/C130,0)",,"=ROUND(F130*3,2)","=IFERROR((I130-F130)/I130,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A131,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E131/C131,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A131,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G131/C131,0)",,"=ROUND(F131*3,2)","=IFERROR((I131-F131)/I131,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A132,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E132/C132,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A132,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G132/C132,0)",,"=ROUND(F132*3,2)","=IFERROR((I132-F132)/I132,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A133,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E133/C133,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A133,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G133/C133,0)",,"=ROUND(F133*3,2)","=IFERROR((I133-F133)/I133,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A134,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E134/C134,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A134,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G134/C134,0)",,"=ROUND(F134*3,2)","=IFERROR((I134-F134)/I134,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A135,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E135/C135,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A135,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G135/C135,0)",,"=ROUND(F135*3,2)","=IFERROR((I135-F135)/I135,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A136,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E136/C136,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A136,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G136/C136,0)",,"=ROUND(F136*3,2)","=IFERROR((I136-F136)/I136,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A137,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E137/C137,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A137,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G137/C137,0)",,"=ROUND(F137*3,2)","=IFERROR((I137-F137)/I137,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A138,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E138/C138,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A138,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G138/C138,0)",,"=ROUND(F138*3,2)","=IFERROR((I138-F138)/I138,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A139,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E139/C139,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A139,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G139/C139,0)",,"=ROUND(F139*3,2)","=IFERROR((I139-F139)/I139,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A140,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E140/C140,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A140,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G140/C140,0)",,"=ROUND(F140*3,2)","=IFERROR((I140-F140)/I140,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A141,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E141/C141,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A141,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G141/C141,0)",,"=ROUND(F141*3,2)","=IFERROR((I141-F141)/I141,0)"
